time,envelope_change,sway_speed,sway_lean
3.026,0.0064758310507998,0.0,0.0
3.028,0.0063725908233644,0.0,0.0
3.03,0.0062464489562206,0.0,0.0
3.032,0.0061008947252212,0.0,0.0
3.034,0.0059398463566483,0.0,0.0
3.036,0.0057675493407612,0.0,0.0
3.038,0.0055884678695514,0.0,0.0
3.04,0.0054071704482805,0.0,0.0
3.042,0.0052282106284249,0.0,0.0
3.044,0.0050560037067445,0.0,0.0
3.046,0.0048947000353954,0.0,0.0
3.048,0.0047480553469288,0.0,0.0
3.05,0.0046192983229811,0.0,0.0
3.052,0.0045109955681182,0.0,0.0
3.054,0.0044249141411516,0.0,0.0
3.056,0.0043618981451823,0.0,0.0
3.058,0.0043218117384691,0.0,0.0
3.06,0.0043035904036774,0.0,0.0
3.062,0.004305372307946,0.0,0.0
3.064,0.0043246516602264,0.0,0.0
3.066,0.0043584264849163,0.0,0.0
3.068,0.0044033373326009,0.0,0.0
3.07,0.0044557970160409,0.0,0.0
3.072,0.0045121113137945,0.0,0.0
3.074,0.00456859049184,0.0,0.0
3.076,0.0046216514493626,0.0,0.0
3.078,0.0046679101278619,0.0,0.0
3.08,0.0047042635226691,0.0,0.0
3.082,0.0047279604833095,0.0,0.0
3.084,0.0047366606942521,0.0,0.0
3.086,0.0047284814752238,0.0,0.0
3.088,0.0047020319798381,0.0,0.0
3.09,0.0046564343812991,0.0,0.0
3.092,0.0045913324101884,0.0,0.0
3.094,0.0045068889406701,0.0,0.0
3.096,0.0044037748861488,0.0,0.0
3.098,0.004283151003492,0.0,0.0
3.1,0.0041466435980964,0.0,0.0
3.102,0.0039963153715202,0.0,0.0
3.104,0.0038346330161145,0.0,0.0
3.106,0.0036644328509649,0.0,0.0
3.108,0.0034888848776642,0.0,0.0
3.11,0.0033114546218735,0.0,0.0
3.112,0.0031358615689445,0.0,0.0
3.114,0.002966033152314,0.0,0.0
3.116,0.002806053695779,0.0,0.0
3.118,0.0026601077537455,0.0,0.0
3.12,0.0025324168882013,0.0,0.0
3.122,0.002427168651727,0.0,0.0
3.124,0.0023484365376254,0.0,0.0
3.126,0.0023000894907261,0.0,0.0
3.128,0.0022856894714743,0.0,0.0
3.13,0.0023083891956103,0.0,0.0
3.132,0.0023708725173772,0.0,0.0
3.134,0.0024753735860053,0.0,0.0
3.136,0.0026237539596428,0.0,0.0
3.138,0.0028175885212971,0.0,0.0
3.14,0.0030582321208513,0.0,0.0
3.142,0.0033468570034633,0.0,0.0
3.144,0.0036844534476027,0.0,0.0
3.146,0.0040717863438787,0.0,0.0
3.148,0.0045093019302563,0.0,0.0
3.15,0.0049969813205232,0.0,0.0
3.152,0.0055341400959908,0.0,0.0
3.154,0.0061191774845567,0.0,0.0
3.156,0.0067493124912847,0.0,0.0
3.158,0.007420403096886,0.0,0.0
3.16,0.0081269201640184,0.0,0.0
3.162,0.0088620405186086,0.0,0.0
3.164,0.0096177896111943,0.0,0.0
3.166,0.0103852079795622,0.0,0.0
3.168,0.0111545387758403,0.0,0.0
3.17,0.0119154336613459,0.0,0.0
3.172,0.0126571744846042,0.0,0.0
3.174,0.0133689079996207,0.0,0.0
3.176,0.0140398905826515,0.0,0.0
3.178,0.0146597391494678,0.0,0.0
3.18,0.0152186826906134,0.0,0.0
3.182,0.0157078064989009,0.0,0.0
3.184,0.016119279285668,0.0,0.0
3.186,0.0164465522250437,0.0,0.0
3.188,0.0166845188849755,0.0,0.0
3.19,0.0168296273486997,0.0,0.0
3.192,0.0168799407446732,0.0,0.0
3.194,0.0168351478905825,0.0,0.0
3.196,0.0166965295365194,0.0,0.0
3.198,0.0164668865133655,0.0,0.0
3.2,0.0161504353463089,0.0,0.0
3.202,0.0157526767769887,0.0,0.0
3.204,0.0152802428096131,0.0,0.0
3.206,0.0147407276563675,0.0,0.0
3.208,0.0141425074156818,0.0,0.0
3.21,0.0134945528493416,0.0,0.0
3.212,0.0128062396844962,0.0,0.0
3.214,0.0120871604399023,0.0,0.0
3.216,0.011346940575908,0.0,0.0
3.218,0.0105950606941671,0.0,0.0
3.22,0.0098406855935109,0.0,0.0
3.222,0.0090925008733632,0.0,0.0
3.224,0.008358558220259,0.0,0.0
3.226,0.0076461304681563,0.0,0.0
3.228,0.0069615777254008,0.0,0.0
3.23,0.0063102259709274,0.0,0.0
3.232,0.0056962592404955,0.0,0.0
3.234,0.0051226387053846,0.0,0.0
3.236,0.0045910953707544,0.0,0.0
3.238,0.0041022466460744,0.0,0.0
3.24,0.0036558189923278,0.0,0.0
3.242,0.0032509004548098,0.0,0.0
3.244,0.002886167420785,0.0,0.0
3.246,0.0025600723361884,0.0,0.0
3.248,0.0022709939333777,0.0,0.0
3.25,0.00201735263044,0.0,0.0
3.252,0.0017976940981542,0.0,0.0
3.254,0.0016107446066995,0.0,0.0
3.256,0.001455441765918,0.0,0.0
3.258,0.0013309438305982,0.0,0.0
3.26,0.0012366206112237,0.0,0.0
3.262,0.0011720284522807,0.0,0.0
3.264,0.0011368714644857,0.0,0.0
3.266,0.0011309511258796,0.0,0.0
3.268,0.0011541056378729,0.0,0.0
3.27,0.0012061401927587,0.0,0.0
3.272,0.0012867490251797,0.0,0.0
3.274,0.0013954340898367,0.0,0.0
3.276,0.0015314396349255,0.0,0.0
3.278,0.0016937267901354,0.0,0.0
3.28,0.0018809880552773,0.0,0.0
3.282,0.0020916785863672,0.0,0.0
3.284,0.0023240472736528,0.0,0.0
3.286,0.0025761646561769,0.0,0.0
3.288,0.0028459485783157,0.0,0.0
3.29,0.0031311885106882,0.0,0.0
3.292,0.0034295690800192,0.0,0.0
3.294,0.0037386925831853,0.0,0.0
3.296,0.0040561003461393,0.0,0.0
3.298,0.0043792925533124,0.0,0.0
3.3,0.0047057459903404,0.0,0.0
3.302,0.0050329296527441,0.0,0.0
3.304,0.0053583182015983,0.0,0.0
3.306,0.0056794036926219,0.0,0.0
3.308,0.0059937066118569,0.0,0.0
3.31,0.0062987866821308,0.0,0.0
3.312,0.0065922536899716,0.0,0.0
3.314,0.0068717786838173,0.0,0.0
3.316,0.0071351055996625,0.0,0.0
3.318,0.0073800637409019,0.0,0.0
3.32,0.0076045816207577,0.0,0.0
3.322,0.0078067022790449,0.0,0.0
3.324,0.0079846003493915,0.0,0.0
